"Key","Title","Description","Status"
"1985MM08","1985 augustus","","Definitief"
"1985MM09","1985 september","","Definitief"
"1985MM10","1985 oktober","","Definitief"
"1985MM11","1985 november","","Definitief"
"1985MM12","1985 december","","Definitief"
"1985JJ00","1985","","Definitief"
"1986MM01","1986 januari","","Definitief"
"1986MM02","1986 februari","","Definitief"
"1986MM03","1986 maart","","Definitief"
"1986MM04","1986 april","","Definitief"
"1986MM05","1986 mei","","Definitief"
"1986MM06","1986 juni","","Definitief"
"1986MM07","1986 juli","","Definitief"
"1986MM08","1986 augustus","","Definitief"
"1986MM09","1986 september","","Definitief"
"1986MM10","1986 oktober","","Definitief"
"1986MM11","1986 november","","Definitief"
"1986MM12","1986 december","","Definitief"
"1986JJ00","1986","","Definitief"
"1987MM01","1987 januari","","Definitief"
"1987MM02","1987 februari","","Definitief"
"1987MM03","1987 maart","","Definitief"
"1987MM04","1987 april","","Definitief"
"1987MM05","1987 mei","","Definitief"
"1987MM06","1987 juni","","Definitief"
"1987MM07","1987 juli","","Definitief"
"1987MM08","1987 augustus","","Definitief"
"1987MM09","1987 september","","Definitief"
"1987MM10","1987 oktober","","Definitief"
"1987MM11","1987 november","","Definitief"
"1987MM12","1987 december","","Definitief"
"1987JJ00","1987","","Definitief"
"1988MM01","1988 januari","","Definitief"
"1988MM02","1988 februari","","Definitief"
"1988MM03","1988 maart","","Definitief"
"1988MM04","1988 april","","Definitief"
"1988MM05","1988 mei","","Definitief"
"1988MM06","1988 juni","","Definitief"
"1988MM07","1988 juli","","Definitief"
"1988MM08","1988 augustus","","Definitief"
"1988MM09","1988 september","","Definitief"
"1988MM10","1988 oktober","","Definitief"
"1988MM11","1988 november","","Definitief"
"1988MM12","1988 december","","Definitief"
"1988JJ00","1988","","Definitief"
"1989MM01","1989 januari","","Definitief"
"1989MM02","1989 februari","","Definitief"
"1989MM03","1989 maart","","Definitief"
"1989MM04","1989 april","","Definitief"
"1989MM05","1989 mei","","Definitief"
"1989MM06","1989 juni","","Definitief"
"1989MM07","1989 juli","","Definitief"
"1989MM08","1989 augustus","","Definitief"
"1989MM09","1989 september","","Definitief"
"1989MM10","1989 oktober","","Definitief"
"1989MM11","1989 november","","Definitief"
"1989MM12","1989 december","","Definitief"
"1989JJ00","1989","","Definitief"
"1990MM01","1990 januari","","Definitief"
"1990MM02","1990 februari","","Definitief"
"1990MM03","1990 maart","","Definitief"
"1990MM04","1990 april","","Definitief"
"1990MM05","1990 mei","","Definitief"
"1990MM06","1990 juni","","Definitief"
"1990MM07","1990 juli","","Definitief"
"1990MM08","1990 augustus","","Definitief"
"1990MM09","1990 september","","Definitief"
"1990MM10","1990 oktober","","Definitief"
"1990MM11","1990 november","","Definitief"
"1990MM12","1990 december","","Definitief"
"1990JJ00","1990","","Definitief"
"1991MM01","1991 januari","","Definitief"
"1991MM02","1991 februari","","Definitief"
"1991MM03","1991 maart","","Definitief"
"1991MM04","1991 april","","Definitief"
"1991MM05","1991 mei","","Definitief"
"1991MM06","1991 juni","","Definitief"
"1991MM07","1991 juli","","Definitief"
"1991MM08","1991 augustus","","Definitief"
"1991MM09","1991 september","","Definitief"
"1991MM10","1991 oktober","","Definitief"
"1991MM11","1991 november","","Definitief"
"1991MM12","1991 december","","Definitief"
"1991JJ00","1991","","Definitief"
"1992MM01","1992 januari","","Definitief"
"1992MM02","1992 februari","","Definitief"
"1992MM03","1992 maart","","Definitief"
"1992MM04","1992 april","","Definitief"
"1992MM05","1992 mei","","Definitief"
"1992MM06","1992 juni","","Definitief"
"1992MM07","1992 juli","","Definitief"
"1992MM08","1992 augustus","","Definitief"
"1992MM09","1992 september","","Definitief"
"1992MM10","1992 oktober","","Definitief"
"1992MM11","1992 november","","Definitief"
"1992MM12","1992 december","","Definitief"
"1992JJ00","1992","","Definitief"
"1993MM01","1993 januari","","Definitief"
"1993MM02","1993 februari","","Definitief"
"1993MM03","1993 maart","","Definitief"
"1993MM04","1993 april","","Definitief"
"1993MM05","1993 mei","","Definitief"
